decision_id,current_status,candidate_module,required_measurement,positive_action,negative_action,null_action,blocked_action,future_governance_class,claim_ceiling
D01_ABSOLUTE_INVENTORY_CLOSURE,SPECIFIC_DATA_GAP_REMAINS,M01,paired initial/fraction/retained/spent/moisture/QC closure,consider separate inventory-bridge test,retain independent unidentified inventory,retain and no decision,request named capability input,G1,CLOSURE_CONTRACT_ONLY
D02_REFERENCE_ENDPOINT,NOT_DEFENSIBLY_FROZEN,M01,all analyte-specific sequential cycles and tail metadata,freeze later endpoint prospectively,do not qualify I_ref,no endpoint decision,operator capability input,G1,CLOSURE_CONTRACT_ONLY
D03_PRODUCTION_INVENTORY_BRIDGE,NOT_ESTABLISHED,M01+M02_CONTEXT,qualified operational closure and shot context,authorize separate bridge test,retain unidentified inventory,retain current treatment,no observation operator,G1,CLOSURE_CONTRACT_ONLY
D04_CS0_MAPPING,NOT_ESTABLISHED,M01_CONDITIONAL_FUTURE_HYPOTHESIS,future qualified production inventory/state/volume operator,scope separate proposal,no mapping,no mapping,no mapping,G1,CLOSURE_CONTRACT_ONLY
D05_SHARED_VS_SPECIES_CHEMISTRY,NOT_DECISION_CAPABLE,M01+M02_CONTEXT,absolute paired species fractions and clock,separate chemistry comparison,retain simpler representation,report non-identification,retain current treatment,G1_OR_G3,CLOSURE_CONTRACT_ONLY
D06_SHOT_BOUNDARY,NOT_QUALIFIED,M02_CONTEXT,achieved pressure/beverage mass/fraction clock/temperature,use only for exact future shots,do not invent boundary,no decision,request sensor-interface input,G1,CLOSURE_CONTRACT_ONLY
D07_INITIAL_DRY_POROSITY,SOURCE_CONDITIONED_ONLY,M03,direct local porosity and qualified EWP bridge,separate parameterization proposal,defer M03,defer M03,capability input,G1,CLOSURE_CONTRACT_ONLY
D08_EFFECTIVE_PERMEABILITY,STRESS_SUPPORT_ONLY,M03,static pressure-flow plus transfer bridge,separate parameterization proposal,defer M03,defer M03,capability input,G1,CLOSURE_CONTRACT_ONLY
D09_FIXED_VS_EVOLVING_RESISTANCE,FIXED_RETAINED_BY_PARSIMONY,M04,distinguishing synchronized interventions,separate G2 proposal,retain fixed,retain fixed,retain fixed,G2,CLOSURE_CONTRACT_ONLY
D10_INDEPENDENT_TRANSFER,NOT_ESTABLISHED,M05,sealed prospective independent observations,bounded frozen transfer result,retain no transfer claim,retain no transfer claim,retain no transfer claim,G3,CLOSURE_CONTRACT_ONLY
