item_id,subsystem,exact_ewp_name,symbol,unit,production_consumer,source_families,user_known,directly_measurable,derivable_operator,nuisance_treatment,inverse_identifiability_status,structural_identifiability_status,practical_identifiability_status,per_shot_calibration_required,required_for_selected_observable,current_default,prior_sensitivity_authority,architecture_class,recommended_treatment,decision_changed_by_measurement
coffee,preparation,coffeeIdentity,coffee,category,production config/solver/postprocess,source-specific,true,false,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,USER_KNOWN_OR_MEASURED,condition/collapse/marginalize; no adoption,false
roast,preparation,roastState,roast,category,production config/solver/postprocess,source-specific,true,false,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,USER_KNOWN_OR_MEASURED,condition/collapse/marginalize; no adoption,false
dose,preparation,dose,m_d,g,production config/solver/postprocess,source-specific,true,true,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,USER_KNOWN_OR_MEASURED,condition/collapse/marginalize; no adoption,false
dry_mass,inventory,dryMass,m_dry,g dry,production config/solver/postprocess,source-specific,false,true,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,false
grinder,structure,grinderSetting,g,device units,production config/solver/postprocess,source-specific,true,true,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,USER_KNOWN_OR_MEASURED,condition/collapse/marginalize; no adoption,false
psd,structure,particleDistribution,d_p,m,production config/solver/postprocess,source-specific,false,true,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,false
fines,structure,finesFraction,f,1,production config/solver/postprocess,source-specific,false,true,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,false
geometry,geometry,initialPuckGeometry,"L,A","m,m2",production config/solver/postprocess,source-specific,true,true,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,NOT_YET_ADJUDICATED,false,false,production unchanged,NOT_YET_ADJUDICATED,USER_KNOWN_OR_MEASURED,condition/collapse/marginalize; no adoption,false
porosity,hydraulics,porosity,epsilon,1,production config/solver/postprocess,source-specific,false,true,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,WEAKLY_IDENTIFIED_FROM_PRIOR_RESULT,false,false,production unchanged,EWP-POROSITY-PERMEABILITY-PRIOR-001,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,false
permeability,hydraulics,permeability,K,m2,production config/solver/postprocess,source-specific,false,false,source-specific operator or MAPPING_NOT_ESTABLISHED,training-only source nuisance where allowed,NOT_YET_ADJUDICATED,MAPPING_NOT_ESTABLISHED,WEAKLY_IDENTIFIED_FROM_PRIOR_RESULT,false,false,production unchanged,EWP-POROSITY-PERMEABILITY-PRIOR-001,MODEL_INTERNAL_OR_NUISANCE,condition/collapse/marginalize; no adoption,true
