system,input_id,symbol_or_key,primary_role,physical_quantity,source_or_consumer_path,source_symbol_or_locator,authority_class,value_status,value_or_domain,units,basis,spatial_support,measurement_location,temporal_support,clock,initial_state,runtime_consumer_status,validity_range,evidence_reference,notes
PANNUSCH,P-Q-CONST,flow_start_mL_s=flow_end_mL_s,SOURCE_PROGRAMMED_INPUT,programmed flow command,puckworks/data/pannusch2024/prediction_conditions.csv,PRED-C01/C02/C03/C04/C05/C06,SOURCE_EXPERIMENT_DESIGN,AVAILABLE,1.7;2.0;2.3,mL/s (table label),whole-machine command,programme,machine command; not measured puck face,shot-constant command,SOURCE_PROGRAM_TIME,preinfused/saturated,NOT_APPLICABLE,1-3 mL/s model domain,PW-PRED-CONDITIONS,Python mass/density convention remains unresolved
PANNUSCH,P-Q0,flow_start_mL_s,SOURCE_PROGRAMMED_INPUT,programmed start flow,puckworks/data/pannusch2024/prediction_conditions.csv,PRED-C07/C08 start,SOURCE_EXPERIMENT_DESIGN,AVAILABLE,1.7;2.3,mL/s (table label),whole-machine command,programme start,machine command,start scalar only,programme zero unresolved,preinfused/saturated,NOT_APPLICABLE,gradient endpoints only,PREDECESSOR-FLOW,Retained scalar-start treatment; not a full history
PANNUSCH,P-QT,Q(t),SOURCE_AUTHORITY_UNRESOLVED,flow history,puckworks/data/pannusch2024/prediction_conditions.csv,C07/C08 endpoints,SOURCE_EXPERIMENT_DESIGN,NOT_AVAILABLE,UNRESOLVED,UNRESOLVED,UNRESOLVED,programme,machine command,history unavailable,programme/solver clock unresolved,preinfused/saturated,NOT_APPLICABLE,none established,PREDECESSOR-FLOW,No interpolation/holds/duration authority
PANNUSCH,P-Q-GRAD-END,flow_start_mL_s;flow_end_mL_s,SOURCE_PROGRAMMED_INPUT,programmed flow endpoints,puckworks/data/pannusch2024/prediction_conditions.csv,PRED-C07/C08,SOURCE_EXPERIMENT_DESIGN,AVAILABLE,1.7->2.3;2.3->1.7,mL/s (table label),endpoint commands,programme,machine command,two endpoints,programme coordinate unresolved,preinfused/saturated,NOT_APPLICABLE,C07/C08,PREDECESSOR-FLOW,Not an exact schedule
PANNUSCH,P-MASSDATA-FLOW,MassData.flow,SOURCE_RECONSTRUCTED_DIAGNOSTIC,beverage mass derivative,external P24-MASS-PRED,MassData.flow,SOURCE_DERIVED_TELEMETRY,AVAILABLE_EXTERNAL,vector,g/s,outlet beverage mass,basket outlet/scale,beverage scale,time series,scale clock,unknown,NOT_APPLICABLE,prediction shots,PREDECESSOR-FLOW,Not inlet volumetric flow
PANNUSCH,P-Q-DIV098,MassData.flow/0.98,SOURCE_RECONSTRUCTED_DIAGNOSTIC,density-adjusted beverage derivative,external released MATLAB,plotted /0.98,SOURCE_CODE,AVAILABLE_EXTERNAL,vector,mL/s purported,outlet beverage; undocumented density,basket outlet/scale,scale,time series,scale clock,unknown,NOT_APPLICABLE,prediction shots,PREDECESSOR-FLOW,Unauthorized plotted diagnostic
PANNUSCH,P-BEV-DM-DT,d(beverage mass)/dt,SOURCE_RECONSTRUCTED_DIAGNOSTIC,beverage mass derivative,external P24-MASS-PRED,quadratic mass fit derivative,SOURCE_DERIVED_TELEMETRY,AVAILABLE_EXTERNAL,vector,g/s,outlet beverage mass,basket outlet,scale,time series,scale clock,unknown,NOT_APPLICABLE,prediction shots,PREDECESSOR-FLOW,Outlet not inlet
PANNUSCH,P-DURATION,shot/fraction duration,SOURCE_OBSERVER_OR_RUN_CONTROL,observation duration,puckworks/data/pannusch2024/prediction_fraction_replicates.csv,fraction times,SOURCE_DERIVED_TELEMETRY,AVAILABLE,per shot,s,observer window,fraction collection,scale/fraction observer,interval,scale/fraction clock,unknown,NOT_APPLICABLE,source shots,PW-DATA-DICTIONARY,
PANNUSCH,P-TBOUNDS,t_bounds,SOURCE_OBSERVER_OR_RUN_CONTROL,fraction bounds,puckworks/models/pannusch2024/solver.py,simulate_fractions:t_bounds,SOURCE_DERIVED_TELEMETRY,AVAILABLE,six intervals,s,observer bounds,fraction collection,scale/fraction observer,interval endpoints,scale/fraction clock,saturated,NOT_APPLICABLE,source shots,PW-SOLVER,
PANNUSCH,P-CLOCKS,programme/solver/scale/first-drip clocks,SOURCE_AUTHORITY_UNRESOLVED,clock relationships,docs/analysis/sci_md_pannusch_flow_history_001/FLOW_CLOCK_QUALIFICATION.json,clock audit,MERGED_PREDECESSOR,UNRESOLVED,UNRESOLVED,s,multiple clocks,multiple,multiple,multiple,UNRESOLVED,multiple,NOT_APPLICABLE,none established,PREDECESSOR-CLOCK,
