family_id,dataset_id,manifest_source_card,manifest_source_artifact,license_access,manifest_verified
angeloni2023,angeloni2023/inventories,angeloni2023,Table 7,"Angeloni et al. Appl. Sci. 2023, 13, 2688 (MDPI, open access; Cloudflare-blocked for fetch)",True
angeloni2023,angeloni2023/bioactives,angeloni2023,Tables 4+5 joined to Table 1,"Angeloni et al. Appl. Sci. 13 (2023) 2688 (MDPI, open access; Cloudflare-blocked for fetch); transcribed from article tables, no repository",True
angeloni2023,angeloni2023/total_solids,angeloni2023,Table 2 joined to Table 1,"Angeloni et al. Appl. Sci. 13 (2023) 2688 (MDPI, open access; Cloudflare-blocked for fetch); transcribed from article tables, no repository",True
angeloni2023,angeloni2023/lipids,angeloni2023,Table 3 joined to Table 1,"Angeloni et al. Appl. Sci. 13 (2023) 2688 (MDPI, open access; Cloudflare-blocked for fetch); transcribed from article tables, no repository",True
angeloni2023,angeloni2023/total_solids_lipids_rsd,angeloni2023,"Appl. Sci. 13,2688 Tables 1-3 (author-deposited PDF, hashed)",Angeloni et al. Appl. Sci. 13 (2023) 2688 (MDPI open access); author-deposited PDF hashed,True
bruno2026,bruno2026/roasted_composition,bruno2026,"Bruno et al. Sci. Rep. 16, 15857 (2026) Table 2 (4 origins x 10 compounds, mean±SD, n=3)","CC BY 4.0 (Scientific Reports, open access)",True
cameron2020,cameron2020/fig5_grind_deviation,cameron2020,"Matter 2, 631-648 (2020) Fig 5 (measured EY deviation below the homogeneous-flow model vs grind)",paper (DOI 10.1016/j.matt.2020.06.019),True
cameron2020,cameron2020/psd_figure2,cameron2020,Figure 2 (measured PSD),"Cameron et al., Matter 2 (2020) 631-648; Fig 2 PSD digitized 2026-07-25",True
egidi2024,egidi2024/table2,egidi2024,"Chaos Solitons Fractals 188,115625 Table 2 (12-cond EY/TDS)",paper (DOI 10.1016/j.chaos.2024.115625),True
ellero2019,ellero2019/fig2_inverse_discharge,ellero2019,Ellero & Navarini PARTICLES 2019 Fig 2 (forcing; SPH |Re|(t/tnu) x6 theta; Ref.[8] experimental markers),"no DOI (conference proceedings); figures digitized, no PDF redistributed",True
ellero2019,ellero2019/fig3_direct_discharge,ellero2019,Ellero & Navarini PARTICLES 2019 Fig 3 (direct-discharge SPH |Re|(t/tnu) x4 theta; cumulative output concentration [%] x4 theta),no DOI (conference proceedings); figures digitized,True
ellero2019,ellero2019/fig4_caffeine_content,ellero2019,Ellero & Navarini PARTICLES 2019 Fig 4 (caffeine content [%] vs t/tnu: vary Db @Dr=0.0005; vary Dr @Db=0.005; theta=0.0058),no DOI (conference proceedings); figures digitized,True
fasano2000_partI,fasano2000_partI/fig8_1_experimental,fasano2000_partI,Fig 8.1,"Fasano/Talamucci/Petracco, Complex Flows in Industrial Processes ch.8, Springer 2000 (no DOI; no code/data); digitized figures",True
fasano2000_partI,fasano2000_partI/fig8_4_reversal,fasano2000_partI,Fig 8.4,"Fasano/Talamucci/Petracco, Complex Flows in Industrial Processes ch.8, Springer 2000 (no DOI; no code/data); digitized figures",True
fasano2000_partI,fasano2000_partI/fig8_6_model_q_inf,fasano2000_partI,Fig 8.6 (mu=0.5),"Fasano/Talamucci/Petracco, Complex Flows in Industrial Processes ch.8, Springer 2000 (no DOI; no code/data); digitized figures",True
fasano2000_partI,fasano2000_partI/fig8_7_thresholds,fasano2000_partI,Fig 8.7,"Fasano/Talamucci/Petracco, Complex Flows in Industrial Processes ch.8, Springer 2000 (no DOI; no code/data); digitized figures",True
foster2025_2,foster2025_2/params,foster2025_2,"Phys.Fluids 37,013383 Table I/II (transcribed from card)",paper (DOI 10.1063/5.0245167),True
foster2025_2,foster2025_2/fig15_flow,foster2025_2,"Phys.Fluids 37,013383 Fig 15 (model-reproduced curve)",paper (DOI 10.1063/5.0245167),True
foster2025_2,foster2025_2/fig12_14_curves,foster2025_2,"Phys.Fluids 37,013383 Figs 12-14 (fitted curves + CT data)",paper (DOI 10.1063/5.0245167),True
