support_id,originating_task_id,family_id,dataset_ids,source_publication_identity,source_artifact_path,source_artifact_sha256,lineage_id,correlation_group_id,laboratory_identity,apparatus_identity,coffee_lot_roast,grinder_preparation_compaction,geometry,ewp_calibration_independence,independence_relative_to_candidates,source_internal_validation,target_exposed,consumed_comparison_conflict,rights_status,canonical_quantity_id,native_quantity,value_representation,source_field_or_extraction_path,native_units,canonical_units,conversion_chain,basis,reference_state,physical_state,spatial_support,temporal_support,population_regime,observation_operator,replicate_unit,uncertainty_statistic,uncertainty_meaning,interval_extraction_rule,ewp_consumer,frozen_role,terminal_reason
G1_GLASSBEAD_HYDRAULIC_ANALOG,,g1_glassbead_analog,[],UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,EWP_EFFECTIVE_SATURATED_PERMEABILITY,UNKNOWN_NOT_INFERRED,qualitative constraint,,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,,UNKNOWN_NOT_INFERRED,STRESS_ONLY,NONCOFFEE_ANALOG_NO_QUALIFIED_TRANSFER
G3_PUMP_CHARACTERISTIC_METADATA_CANDIDATE,,g3_pump_characteristic,[],UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,EWP_INLET_PRESSURE_BOUNDARY,UNKNOWN_NOT_INFERRED,curve,,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,,UNKNOWN_NOT_INFERRED,BLOCKED_AUTHORITY,ENDPOINTS_ONLY_NO_QUALIFIED_INTERIOR_TRANSFER
GAGNE2021_MACHINE_RESISTANCE_METADATA_CANDIDATE,,gagne2021,[],UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,EWP_FIXED_HYDRAULIC_RESISTANCE_FORM,UNKNOWN_NOT_INFERRED,qualitative constraint,,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,,UNKNOWN_NOT_INFERRED,CONTEXT_ONLY,UNQUALIFIED_SUCCESSOR_ONLY
HARGARTEN2020_COMPACTION_METADATA_CANDIDATE,,hargarten2020,[],UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,EWP_INITIAL_DRY_POROSITY,UNKNOWN_NOT_INFERRED,qualitative constraint,,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,,UNKNOWN_NOT_INFERRED,BLOCKED_AUTHORITY,UNQUALIFIED_SUCCESSOR_ONLY
MAILLE2024_POROSITY_METADATA_CANDIDATE,,maille2024,[],UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,EWP_INITIAL_DRY_POROSITY,UNKNOWN_NOT_INFERRED,qualitative constraint,,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,,UNKNOWN_NOT_INFERRED,BLOCKED_AUTHORITY,UNQUALIFIED_SUCCESSOR_ONLY_REQUIRES_COMPONENT_INVESTIGATION
MO2023_2_HYDRAULIC_METADATA_CANDIDATE,,mo2023_2,[],UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,EWP_EFFECTIVE_SATURATED_PERMEABILITY,UNKNOWN_NOT_INFERRED,qualitative constraint,,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,,UNKNOWN_NOT_INFERRED,STRESS_ONLY,UNQUALIFIED_EWP_TRANSFER
MO2023_HYDRAULIC_METADATA_CANDIDATE,,mo2023,[],UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,EWP_EFFECTIVE_SATURATED_PERMEABILITY,UNKNOWN_NOT_INFERRED,qualitative constraint,,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,,UNKNOWN_NOT_INFERRED,STRESS_ONLY,UNQUALIFIED_OR_DIFFERENT_MEDIUM_TRANSFER
MORONEY2019_HYDRAULIC_MODEL_CONTEXT,,moroney2019,[],UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,EWP_EFFECTIVE_SATURATED_PERMEABILITY,UNKNOWN_NOT_INFERRED,model,,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,,UNKNOWN_NOT_INFERRED,SHAPE_ONLY,NO_QUALIFIED_EFFECTIVE_PARAMETER_TRANSFER
PANNUSCH_OPERATIONAL_INPUT_MAPPING,XSV-PANNUSCH-EWP-INPUT-MAPPING-001,pannusch2024,"[""pannusch2024/table2_params"", ""pannusch2024/experimental_kinetics""]",UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,PANNUSCH_2024_SOURCE_CAMPAIGN,PANNUSCH_2024_SOURCE_CAMPAIGN,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,True,True,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,,UNKNOWN_NOT_INFERRED,operator,,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,,UNKNOWN_NOT_INFERRED,INELIGIBLE_TARGET_EXPOSURE,ZERO_OPERATIONALLY_QUALIFIED_EWP_MAPPINGS
POCKETSCIENCE2024_BOUNDARY_METADATA_CANDIDATE,,pocketscience2024,[],UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,EWP_INLET_PRESSURE_BOUNDARY,UNKNOWN_NOT_INFERRED,qualitative constraint,,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,UNKNOWN_NOT_INFERRED,,UNKNOWN_NOT_INFERRED,BLOCKED_AUTHORITY,RELEVANT_DATA_OR_INTERFACE_AUTHORITY_UNAVAILABLE
