item,status,unique_new_observable,existing_evidence_reducing_need,evidence_transferable,purchase_trigger,minimum_performance,qualification_tests,later_reuse
compact logging scale,USE_EXISTING_EQUIPMENT_FIRST,synchronized beverage mass/time,source telemetry sets range only,no,existing scale fails rate/export/synchronization qualification,>=0.1 g resolution; monotonic timestamps; adequate rate for flow derivation,"static mass, timing, drift, video sync",high
camera and mount,USE_EXISTING_EQUIPMENT_FIRST,first drip/switch/deformation timing,source video/CT guides targets,partial,phone view or synchronization inadequate,stable view; readable clock/scale; no dropped critical events,timing and repeatability,high
temperature logger/probes,BUY_ONLY_IF_EXISTING_EQUIPMENT_FAILS_QUALIFICATION,basket/water temperature history,source thermal ranges,limited,thermometer cannot resolve chosen thermal decision,"documented response, accuracy and safe placement",ice/boiling/reference comparison and response,high
pressure transducer,LIKELY_FIRST_PURCHASE,Flair pressure-node trace,other-rig traces not transferable,no,existing Flair gauge/video cannot yield synchronized quantitative trace,correct node; 0-12 bar range; calibration; adequate sample rate,zero/span/leak/sync/repeatability,high
inline flowmeter,NOT_CURRENTLY_JUSTIFIED,inlet volumetric flow,scale mass flow usually sufficient,partial,mass-derived outlet flow cannot answer a frozen decision,fluid/temperature compatible; calibrated dynamic range,gravimetric calibration and pressure-drop test,medium
manual fraction collector,REQUIRED_FOR_PAIRED_FEASIBILITY_PILOT,mass-defined fractions,source fractions define design,no,B1 begins,repeatable low-loss switching for ~3-8 g fractions,"recovery, contamination, switch timing, summed mass",high
refractometer,LIKELY_FIRST_PURCHASE,fraction/bulk TDS,existing TDS evidence sizes signal,method-transfer required,borrowed/existing device fails precision/range qualification and B1 is current,espresso-compatible range; repeatability sufficient for late fractions,"water zero, standards, replicate, temp, mass closure",high
0.1 mg analytical balance,METHOD_DEPENDENT_DEFER,small-mass preparation/standards,source methods guide loads,no,selected preparation uncertainty budget requires it,0.1 mg readability with qualified repeatability/linearity,"weights, drift, eccentricity",high
drying oven,METHOD_DEPENDENT_DEFER,moisture/dry basis,methods exist but lot-specific value missing,no,B2 method chosen and external option rejected,stable method temperature and safe capacity,"uniformity, repeat drying to mass criterion",high
desiccator,METHOD_DEPENDENT_DEFER,controlled cool/weigh,method evidence,transferable,gravimetric drying selected,sealed low-humidity capacity,blank and repeat mass stability,high
quantitative pipettes,METHOD_DEPENDENT_DEFER,dilution/extract volumes,source methods,partial,analytical method and volumes fixed,volume range/accuracy matched to uncertainty,gravimetric qualification,high
volumetric glassware,METHOD_DEPENDENT_DEFER,extract/dilution volumes,source methods,partial,workflow volumes fixed,class/accuracy matched to budget,gravimetric verification,high
heated ultrasonic bath,METHOD_DEPENDENT_DEFER,controlled extraction agitation,reference extraction remains unresolved,no,selected I_ref method requires sonication,temperature/time uniformity,mapping and recovery,medium
centrifuge,METHOD_DEPENDENT_DEFER,clarification,source prep methods only,partial,demonstrated workflow requires centrifugal clarification,RCF/tube compatibility,recovery/clarity/carryover,medium
filtration equipment,METHOD_DEPENDENT_DEFER,clarified aliquot,methods guide choices,partial,filter study selects material/pore size,low adsorption and adequate recovery,blank/spike/recovery,high
cold storage,METHOD_DEPENDENT_DEFER,sample stability,no transferable stability proof,no,holding-time study/service logistics require it,temperature monitoring/capacity,stability blanks and excursions,high
particle-imaging equipment,LATER_GRINDER_HYDRAULIC_STAGE,grinder-specific PSD,other-grinder PSD only,no,Priority 3 campaign frozen; service inadequate,resolved size range and validated segmentation,reference particles/repeatability,high
sieves,LATER_GRINDER_HYDRAULIC_STAGE,coarse mass-size distribution,PSD sources reduce exploratory need,partial,sieve descriptor is decision-relevant,appropriate stack and recoverable mass,mass recovery/repeatability,medium
permeability fixture,LATER_GRINDER_HYDRAULIC_STAGE,prepared-bed k-pressure-flow,source rigs not transferable,no,grinder-specific hydraulic stage begins,known geometry; low leak/compliance; pressure-flow range,blank resistance/leak/calibration/repeats,high
UV-Vis,NOT_CURRENTLY_JUSTIFIED,method-dependent absorbance,species selectivity unresolved,no,external reference establishes a validated useful method,method-specific,linearity/specificity/recovery,medium
HPLC,EXTERNAL_SERVICE_FIRST,reference caffeine/trigonelline,accepted source chemistry sizes method,not transferable operationally,sustained validated throughput exceeds service rationale,"species separation, LOQ for late fractions, traceable calibration",linearity/precision/recovery/LOQ/carryover,high
