task_id,historical_disposition,historical_commit,historical_tree,historical_result_artifact,historical_puckworks_commit,historical_puckworks_tree,historical_data_bundle_hash,historical_data_files,historical_dataset_ids,historical_rows_or_experiments,historical_grind_mapping,historical_inventory_convention,historical_observation_operator,historical_validation_role,historical_missing_data_claim,whether_pannusch_data_existed,whether_pannusch_data_were_available_to_task,whether_pannusch_data_were_curated,whether_corrected_spill_rows_were_consumed,whether_center_grind_was_consumed,whether_march_prediction_data_were_consumed,whether_exp46_was_consumed,changed_dependency,recomputation_required,recomputation_performed,current_interpretation,current_claim_ceiling,successor_implication,evidence
SCI-MD-003/RP-A-001,STOP,see artifact,see artifact,docs/analysis/sci_md_003/PUCKWORKS_ANALYSIS_PIN.json,see pin,see pin,see pin,evidence atlas,multiple,three discrimination cells,N/A,N/A,task-specific synchronization,comparison atlas,NO_COMPLETE_MEASUREMENT_SET,true,false,false,false,false,false,false,interpretation only,false,false,historically valid for structural/hydraulic discrimination; broad chemistry wording narrowed,NOT_PHYSICAL_VALIDATION,no reopen,Pannusch lacks synchronized structural/hydraulic observables
VAL-CORPUS-002,REJECTED,see Git history,see Git history,docs/validation/VAL_CORPUS_002_STAGE_B2_RESULT.md,see manifests,see manifests,see manifests,schmieder cup_masses/raw_fractions,schmieder2023/*,Schmieder experiments,source Schmieder mapping,fixed P0/P1/P2,normalized species/source and production cup,source reconstruction,false,true,true,true,false,false,false,false,false,false,false,unchanged by hash,PHYSICAL_VALIDATION_NOT_ESTABLISHED,no replay,VAL_CORPUS_002_INPUT_IMPACT.json
SCI-MD-004-E0/E1,accepted then consumed comparison,d1c4 predecessor,see Git history,docs/validation/sci_md_004/STAGE_E0_G1_PARAMETERIZATION_AND_FREEZE.md,5ce003e751aac516b5de3d9ede4e6910627e2b12,d50c23028df01d6e1dc0a14ab331d0ea7453cb7f,112f8b3b943a5cea3399746fde512048e3898f99c8079433dae86bd142db8709,schmieder_species_fractions_long.csv,schmieder2023/raw_fractions,Schmieder experiments,measured source grind,legacy 0.28 inventories,C_out(t)=Csat exp(-kt),training plus consumed Angeloni comparison,false,true,true,true,false,false,false,false,false,false,false,frozen result unchanged,CONSUMED_POST_HOLDOUT_COMPARISON_DATA,no corrected-training successor,SCI_MD_004_COUNTERFACTUAL_DIAGNOSTICS.json
SCI-MD-005,STOP,see Git history,see Git history,docs/validation/sci_md_005/FINAL_REPORT.md,5ce003e751aac516b5de3d9ede4e6910627e2b12,d50c23028df01d6e1dc0a14ab331d0ea7453cb7f,see artifact,Schmieder only,schmieder2023/*,all source fractions,N/A,contract M0/cs0,adapter parity,training contract conflict,true,true,true,false,false,false,false,false,false,false,false,experiment 46 does not supply common M0/cs0 contract,STOP,no reopen,SCI-MD-005 report plus exp46 limits
SCI-MD-006,STOP,see Git history,see Git history,current task records,5ce003e...,d50c...,see artifact,frozen species evidence,schmieder2023/*,N/A,N/A,unknown inventory,species comparison,protocol stop,true,false,false,false,false,false,false,possible future evidence only,false,false,historical stop preserved,NOT_REOPENED,requires stable transfer residuals,current trace
SCI-MD-007,STOP,see export,see export,docs/validation/sci_md_007/upstream/SCI_MD_007_EXPORT.json,31741303fb604ed3e6586a555ea6ef6989c24a62,a918072d28f555bf98638fa97da1adb568bf09b8,d29689477be1df64f6248734c2faf817dd8dafbf17f31ca49e0a1d055798cf0e,inventory evidence registers,multiple,total-content rows,N/A,total roasted content,direct assay,inventory predictor breadth,true,false,false,false,false,false,false,true,true,true,partially reduced; no M0 bridge,NOT_ESTABLISHED,no predictor fit,SCI_MD_007_REASSESSMENT.json
SCI-MD-008,STOP,3874865e124dba0340ca93626b9bbf80f1385664,b9ace201b4bbcda9fad5631faeaca1f811cb6a2b,validation/sci_md_008/RESULT.json,5ce003e751aac516b5de3d9ede4e6910627e2b12,d50c23028df01d6e1dc0a14ab331d0ea7453cb7f,ec30b7e0038e092c9b8e0d8e3d5d47de35be4e1afdbc650f826ac72f17e1b051,Schmieder fractions,schmieder2023/raw_fractions,E1/E7/E15,source grind,0.01x/0.1x/1x,within-shot normalized fraction mass,model diagnostic,no eligible independent fraction dataset,true,false,false,false,false,false,false,new transfer interpretation,true,false,inventory dependence applies; conditional nonadjudicative only,NOT_INVENTORY_FREE,do not select XSV transfer,SCI_MD_008_TRANSFER_CONSISTENCY.json
SCI-MD-009/C1,REJECTED,see Git history,see Git history,validation/sci_md_009/,5ce003e...,d50c...,see authority,SCI-MD-004 frozen artifacts,schmieder2023/*,N/A,source grind,frozen,nonlinear surrogate test,model diagnostic,false,true,true,true,false,false,false,false,false,false,false,nonlinear response failure unchanged,REJECTED,no C2,current artifacts
SCI-ED-002,STOP/plan,see authority,see authority,docs/validation/sci_ed_002/,317413...,a918...,see export,inventory design evidence,multiple,N/A,N/A,closure design,measurement design,experiment design,true,false,false,false,false,false,false,current scope changed,false,false,local method/closure narrowed using source planning evidence,NO_OPERATION,next task candidate,HOME_LAB_REDESIGN_IMPACT.md
XSV-FLOW-001,QUALIFIED,see contract,see contract,docs/validation/XSV_FLOW_001.md,N/A,N/A,see contract,numerical fixtures,N/A,N/A,N/A,N/A,flow observer,numerical qualification,false,false,false,false,false,false,false,false,false,false,false,unchanged; new application only,NOT_PHYSICAL_VALIDATION,reuse interface,current artifact
