family_id,source_identity,exact_dataset_ids,source_commit_or_package,rights_status,raw_or_processed,prior_target_exposure,physical_system,source_conditions,independent_unit,group_count_or_reason,measured_observable,observable_unit,uncertainty_available,current_ewp_component,possible_observation_operator,existing_use,additional_legitimate_use,strongest_claim_level,direct_parameter_transfer_possible,source_conditioned_calibration_possible,retrospective_grouped_test_possible,utility_class,utility_rationale,primary_limitation,architecture_implication,selected_quantitative_lane,selection_or_exclusion_reason,supporting_artifact_ids
(registry [RS]),(registry [RS]),de1_fixtureA,2058d0e947ee9eb92c52d64f6165b810f1fb4732,open (Visualizer community),REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,RC-1 first-drip triangle; 1.1 §5.2 Fo_F audit; 1.6 cross-check,source-defined; not promoted to fold,not enumerated: unselected Phase-A context,de1_fixtureA,bar; g; g/s,n,source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,RC-1 first-drip triangle; 1.1 §5.2 Fo_F audit; 1.6 cross-check,CONDITIONAL_PREDICTIVE_EVALUATION,CONSTRAINT_OR_CONTEXT,false,true,false,CONDITIONAL_PREDICTIVE_EVALUATION,de1_fixtureA: RC-1 first-drip triangle; 1.1 §5.2 Fo_F audit; 1.6 cross-check; caveat: S5.9 pressure-node: DE1 'pressure' trace node identity OPEN (basket gauge vs line); fitted kappa=1.196,MODEL_INPUT_REQUIREMENT,evaluate source observable bridge; do not infer EWP equivalence,,de1_fixtureA: RC-1 first-drip triangle; 1.1 §5.2 Fo_F audit; 1.6 cross-check; caveat: S5.9 pressure-node: DE1 'pressure' trace node identity OPEN (basket gauge vs line); fitted kappa=1.196,PW_MANIFEST
acre2024,acre2024,acre2024/tables1_2,2058d0e947ee9eb92c52d64f6165b810f1fb4732,open access normalized facts,REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,SCI-MD-007 R1 direct total-content cohort,source-defined; not promoted to fold,not enumerated: unselected Phase-A context,acre2024/tables1_2,mg/100 g dry basis,y,source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,SCI-MD-007 R1 direct total-content cohort,NO_CURRENT_DECISION_RELEVANT_USE,CONSTRAINT_OR_CONTEXT,false,false,false,NO_CURRENT_DECISION_RELEVANT_USE,acre2024/tables1_2: SCI-MD-007 R1 direct total-content cohort; caveat: all varieties are C. canephora; shared laboratory with Viencz 2023,DATA_COVERAGE,evaluate source observable bridge; do not infer EWP equivalence,,acre2024/tables1_2: SCI-MD-007 R1 direct total-content cohort; caveat: all varieties are C. canephora; shared laboratory with Viencz 2023,PW_MANIFEST
angeloni2023,angeloni2023,angeloni2023/inventories;angeloni2023/bioactives;angeloni2023/total_solids;angeloni2023/lipids;angeloni2023/total_solids_lipids_rsd,2058d0e947ee9eb92c52d64f6165b810f1fb4732,"Angeloni et al. Appl. Sci. 2023, 13, 2688 (MDPI, open access; Cloudflare-blocked for fetch) | Angeloni et al. Appl. Sci. 13 (2023) 2688 (MDPI, open access; Cloudflare-blocked for fetch); transcribed from article tables, no repository | Angeloni et al. Appl. Sci. 13 (2023) 2688 (MDPI open access); author-deposited PDF hashed",REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,extraction inventory priors; INDEPENDENT multi-species target for pannusch2024 | multi-species validation target for pannusch2024; multi-class solute backlog | gate_angeloni_multispecies_bracket (TS/TDS) | lipid multi-species channel (future) | TB-2 replicate-uncertainty intake; weighted/heteroscedastic Paper A sensitivity (owed once solute-specific RSD lands),source-defined; not promoted to fold,not enumerated: unselected Phase-A context,angeloni2023/inventories;angeloni2023/bioactives;angeloni2023/total_solids;angeloni2023/lipids;angeloni2023/total_solids_lipids_rsd,mg/L (=mg/kg) | g/L; C; bar | g/100mL; % | g/100mL (TS/lipid); percent (RSD),"n | %RSD 0.3-19.7 (in card, not per-cell) | y (%RSD per shot) | y",source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,extraction inventory priors; INDEPENDENT multi-species target for pannusch2024 | multi-species validation target for pannusch2024; multi-class solute backlog | gate_angeloni_multispecies_bracket (TS/TDS) | lipid multi-species channel (future) | TB-2 replicate-uncertainty intake; weighted/heteroscedastic Paper A sensitivity (owed once solute-specific RSD lands),CONDITIONAL_PREDICTIVE_EVALUATION,CONSTRAINT_OR_CONTEXT,false,true,false,CONDITIONAL_PREDICTIVE_EVALUATION,"angeloni2023/inventories;angeloni2023/bioactives;angeloni2023/total_solids;angeloni2023/lipids;angeloni2023/total_solids_lipids_rsd: extraction inventory priors; INDEPENDENT multi-species target for pannusch2024; caveat: 8 species x 2 varieties; the 66-shot chemistry (Tables 2-5) is a PENDING drop -- not in card, MDPI unreachable",MODEL_INPUT_REQUIREMENT,evaluate source observable bridge; do not infer EWP equivalence,,"angeloni2023/inventories;angeloni2023/bioactives;angeloni2023/total_solids;angeloni2023/lipids;angeloni2023/total_solids_lipids_rsd: extraction inventory priors; INDEPENDENT multi-species target for pannusch2024; caveat: 8 species x 2 varieties; the 66-shot chemistry (Tables 2-5) is a PENDING drop -- not in card, MDPI unreachable",PW_MANIFEST
bruno2026,bruno2026,bruno2026/roasted_composition,2058d0e947ee9eb92c52d64f6165b810f1fb4732,"CC BY 4.0 (Scientific Reports, open access)",REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,G6 / ledger-A4 SoluteInventory prior (offline provider); NOT a registered component,source-defined; not promoted to fold,not enumerated: unselected Phase-A context,bruno2026/roasted_composition,mg/kg; % w/w,y (SD; n=3),source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,G6 / ledger-A4 SoluteInventory prior (offline provider); NOT a registered component,NO_CURRENT_DECISION_RELEVANT_USE,CONSTRAINT_OR_CONTEXT,false,false,false,NO_CURRENT_DECISION_RELEVANT_USE,"bruno2026/roasted_composition: G6 / ledger-A4 SoluteInventory prior (offline provider); NOT a registered component; caveat: Roasting is UPSTREAM of every registry stage -> DATA-ONLY (the Bruno ODE model is NOT implemented, per card: over-parameterised non-identifiable fit). mg/kg roasted powder (non-lipid); lipids % w/w dry basis. Bean-averaged; no solubility/diffusivity/partitioning (bruno card) -> use as an inventory PRIOR only, never Bruno-ODE -> extraction. Medium Arabica (Mexico/Rwanda) + hard-roast Robusta (Nicaragua/Indonesia).",DATA_COVERAGE,evaluate source observable bridge; do not infer EWP equivalence,,"bruno2026/roasted_composition: G6 / ledger-A4 SoluteInventory prior (offline provider); NOT a registered component; caveat: Roasting is UPSTREAM of every registry stage -> DATA-ONLY (the Bruno ODE model is NOT implemented, per card: over-parameterised non-identifiable fit). mg/kg roasted powder (non-lipid); lipids % w/w dry basis. Bean-averaged; no solubility/diffusivity/partitioning (bruno card) -> use as an inventory PRIOR only, never Bruno-ODE -> extraction. Medium Arabica (Mexico/Rwanda) + hard-roast Robusta (Nicaragua/Indonesia).",PW_MANIFEST
cameron2020,cameron2020,cameron2020/fig5_grind_deviation;cameron2020/psd_figure2,2058d0e947ee9eb92c52d64f6165b810f1fb4732,"paper (DOI 10.1016/j.matt.2020.06.019) | Cameron et al., Matter 2 (2020) 631-648; Fig 2 PSD digitized 2026-07-25",REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,gate_streamtube_heldout; streamtube sigma(GS) fines-closure leave-one-out | the measured BINNED EK43 PSD; input to maille2024 phi-split-vs-Cameron gate (analysis.maille2024.phi_split_vs_cameron),source-defined; not promoted to fold,not enumerated: unselected Phase-A context,cameron2020/fig5_grind_deviation;cameron2020/psd_figure2,percent | um ; volume percent,n,source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,gate_streamtube_heldout; streamtube sigma(GS) fines-closure leave-one-out | the measured BINNED EK43 PSD; input to maille2024 phi-split-vs-Cameron gate (analysis.maille2024.phi_split_vs_cameron),SOURCE_MODEL_REPRODUCTION,CONSTRAINT_OR_CONTEXT,false,true,false,SOURCE_MODEL_REPRODUCTION,cameron2020/fig5_grind_deviation;cameron2020/psd_figure2: gate_streamtube_heldout; streamtube sigma(GS) fines-closure leave-one-out; caveat: 3 in-campaign grinds GS 1.1/1.3/1.5 (rel deviation 0.131/0.061/0.026); LOO over only 3 points,CROSS_SOURCE_INCOMPATIBILITY,evaluate source observable bridge; do not infer EWP equivalence,,cameron2020/fig5_grind_deviation;cameron2020/psd_figure2: gate_streamtube_heldout; streamtube sigma(GS) fines-closure leave-one-out; caveat: 3 in-campaign grinds GS 1.1/1.3/1.5 (rel deviation 0.131/0.061/0.026); LOO over only 3 points,PW_MANIFEST
dias2015,dias2015,dias2015/table2,2058d0e947ee9eb92c52d64f6165b810f1fb4732,CC-BY-4.0,REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,SCI-MD-007 R1 direct total-content cohort,source-defined; not promoted to fold,not enumerated: unselected Phase-A context,dias2015/table2,g/100 g dry basis,y,source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,SCI-MD-007 R1 direct total-content cohort,NO_CURRENT_DECISION_RELEVANT_USE,CONSTRAINT_OR_CONTEXT,false,false,false,NO_CURRENT_DECISION_RELEVANT_USE,dias2015/table2: SCI-MD-007 R1 direct total-content cohort; caveat: one Arabica and one Robusta parent; known blends and three roast realizations share one source group,DATA_COVERAGE,evaluate source observable bridge; do not infer EWP equivalence,,dias2015/table2: SCI-MD-007 R1 direct total-content cohort; caveat: one Arabica and one Robusta parent; known blends and three roast realizations share one source group,PW_MANIFEST
egidi2024,egidi2024,egidi2024/table2,2058d0e947ee9eb92c52d64f6165b810f1fb4732,paper (DOI 10.1016/j.chaos.2024.115625),REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,RC-1 EY/TDS range bracket (2.1),source-defined; not promoted to fold,not enumerated: unselected Phase-A context,egidi2024/table2,C; bar; s; percent,y (TDS sigma),source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,RC-1 EY/TDS range bracket (2.1),CONDITIONAL_PREDICTIVE_EVALUATION,CONSTRAINT_OR_CONTEXT,false,true,false,CONDITIONAL_PREDICTIVE_EVALUATION,"egidi2024/table2: RC-1 EY/TDS range bracket (2.1); caveat: p,T absorbed into q,tau (egidi); EY 19-23%; cameron reads ~15% (below bracket, documented); rho/phi_s undefined in Eq4 (§5.8)",MODEL_INPUT_REQUIREMENT,evaluate source observable bridge; do not infer EWP equivalence,,"egidi2024/table2: RC-1 EY/TDS range bracket (2.1); caveat: p,T absorbed into q,tau (egidi); EY 19-23%; cameron reads ~15% (below bracket, documented); rho/phi_s undefined in Eq4 (§5.8)",PW_MANIFEST
ellero2019,ellero2019,ellero2019/fig2_inverse_discharge;ellero2019/fig3_direct_discharge;ellero2019/fig4_caffeine_content,2058d0e947ee9eb92c52d64f6165b810f1fb4732,"no DOI (conference proceedings); figures digitized, no PDF redistributed | no DOI (conference proceedings); figures digitized",REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,"G2 fines-migration mechanism SHAPE/timescale (qualitative pointer) | G2 direct-discharge shape (qualitative pointer) | illustrates the card's central claim (release rate Dr dominates in-cup concentration, not bulk diffusion Db)",source-defined; not promoted to fold,not enumerated: unselected Phase-A context,ellero2019/fig2_inverse_discharge;ellero2019/fig3_direct_discharge;ellero2019/fig4_caffeine_content,t/tnu; |Re|; F/F0 (dimensionless) | t/tnu; |Re|; percent (dimensionless) | t/tnu; percent (dimensionless),n (est ~+/-0.05 Re; early ref8 markers ~+/-0.3) | n (est ~+/-0.05 Re; ~+/-0.0003 content) | n (est ~+/-0.0003-0.0008 content),source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,"G2 fines-migration mechanism SHAPE/timescale (qualitative pointer) | G2 direct-discharge shape (qualitative pointer) | illustrates the card's central claim (release rate Dr dominates in-cup concentration, not bulk diffusion Db)",CONDITIONAL_PREDICTIVE_EVALUATION,CONSTRAINT_OR_CONTEXT,false,true,false,CONDITIONAL_PREDICTIVE_EVALUATION,"ellero2019/fig2_inverse_discharge;ellero2019/fig3_direct_discharge;ellero2019/fig4_caffeine_content: G2 fines-migration mechanism SHAPE/timescale (qualitative pointer); caveat: SPH model OUTPUT in dimensionless sim units with NOMINAL parameters -> characterizes the MODEL, not coffee (card VERDICT: skip). theta=0.0058 is FIT to the flow data (circular at that theta). Pump-off windows (t/tnu ~37.6-52.6, 75.2-90.2) read as Re~0. Only the fig2 Ref.[8] markers are experimental (secondary ref, overlaid). Does NOT close G2 -- the raw ASIC 1993/1997 transient-discharge series (refs [13]/[18]) is still owed.",MODEL_INPUT_REQUIREMENT,evaluate source observable bridge; do not infer EWP equivalence,,"ellero2019/fig2_inverse_discharge;ellero2019/fig3_direct_discharge;ellero2019/fig4_caffeine_content: G2 fines-migration mechanism SHAPE/timescale (qualitative pointer); caveat: SPH model OUTPUT in dimensionless sim units with NOMINAL parameters -> characterizes the MODEL, not coffee (card VERDICT: skip). theta=0.0058 is FIT to the flow data (circular at that theta). Pump-off windows (t/tnu ~37.6-52.6, 75.2-90.2) read as Re~0. Only the fig2 Ref.[8] markers are experimental (secondary ref, overlaid). Does NOT close G2 -- the raw ASIC 1993/1997 transient-discharge series (refs [13]/[18]) is still owed.",PW_MANIFEST
fasano2000_partI,fasano2000_partI,fasano2000_partI/fig8_1_experimental;fasano2000_partI/fig8_4_reversal;fasano2000_partI/fig8_6_model_q_inf;fasano2000_partI/fig8_7_thresholds,2058d0e947ee9eb92c52d64f6165b810f1fb4732,"Fasano/Talamucci/Petracco, Complex Flows in Industrial Processes ch.8, Springer 2000 (no DOI; no code/data); digitized figures",REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,3.3 experimental target (only nonmonotone-q_inf evidence) | gate_fasano_reversal_signature | gate_fasano_cor82_nonmonotone (target) | gate_fasano_cor82_nonmonotone (input),source-defined; not promoted to fold,not enumerated: unselected Phase-A context,fasano2000_partI/fig8_1_experimental;fasano2000_partI/fig8_4_reversal;fasano2000_partI/fig8_6_model_q_inf;fasano2000_partI/fig8_7_thresholds,bar; s; mL/s | s; mL/s; - | -,n,source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,3.3 experimental target (only nonmonotone-q_inf evidence) | gate_fasano_reversal_signature | gate_fasano_cor82_nonmonotone (target) | gate_fasano_cor82_nonmonotone (input),SOURCE_MODEL_REPRODUCTION,CONSTRAINT_OR_CONTEXT,false,true,false,SOURCE_MODEL_REPRODUCTION,fasano2000_partI/fig8_1_experimental;fasano2000_partI/fig8_4_reversal;fasano2000_partI/fig8_6_model_q_inf;fasano2000_partI/fig8_7_thresholds: 3.3 experimental target (only nonmonotone-q_inf evidence); caveat: low fidelity; 3/5/7 bar; transient peak then decay to a pressure-nonmonotone asymptote,CROSS_SOURCE_INCOMPATIBILITY,evaluate source observable bridge; do not infer EWP equivalence,,fasano2000_partI/fig8_1_experimental;fasano2000_partI/fig8_4_reversal;fasano2000_partI/fig8_6_model_q_inf;fasano2000_partI/fig8_7_thresholds: 3.3 experimental target (only nonmonotone-q_inf evidence); caveat: low fidelity; 3/5/7 bar; transient peak then decay to a pressure-nonmonotone asymptote,PW_MANIFEST
foster2025_2,foster2025_2,foster2025_2/params;foster2025_2/fig15_flow;foster2025_2/fig12_14_curves,2058d0e947ee9eb92c52d64f6165b810f1fb4732,paper (DOI 10.1063/5.0245167),REGISTERED_SOURCE_ARTIFACT,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,espresso/coffee source-defined,item 1.6: machine-mode t_p/t_s reproduction | item 1.6: flow-minimum validation (P2 null baseline) | item 1.6: front s(t)/headspace H(t) trajectory validation,source-defined; not promoted to fold,not enumerated: unselected Phase-A context,foster2025_2/params;foster2025_2/fig15_flow;foster2025_2/fig12_14_curves,SI | s; -; - | s; mm,n | y (data err),source-dependent; no automatic input transfer,source-native units retained; explicit EWP bridge required,item 1.6: machine-mode t_p/t_s reproduction | item 1.6: flow-minimum validation (P2 null baseline) | item 1.6: front s(t)/headspace H(t) trajectory validation,SOURCE_MODEL_REPRODUCTION,CONSTRAINT_OR_CONTEXT,false,true,false,SOURCE_MODEL_REPRODUCTION,foster2025_2/params;foster2025_2/fig15_flow;foster2025_2/fig12_14_curves: item 1.6: machine-mode t_p/t_s reproduction; caveat: fine grind fit; t_shift=0.796 start-align; reported t_p/t_s = model + t_shift; Fig 15 flow-min pending 0.11,CROSS_SOURCE_INCOMPATIBILITY,evaluate source observable bridge; do not infer EWP equivalence,,foster2025_2/params;foster2025_2/fig15_flow;foster2025_2/fig12_14_curves: item 1.6: machine-mode t_p/t_s reproduction; caveat: fine grind fit; t_shift=0.796 start-align; reported t_p/t_s = model + t_shift; Fig 15 flow-min pending 0.11,PW_MANIFEST
