dataset_id,source,lanes,apparatus,machine,grinder,condition_replicate_scope,variables,temporal_fraction_resolution,uncertainty,rights,prior_model_consumption,independence,current_permitted_use,principal_caveat
visualizer/hydraulic_timeseries,visualizer_coffee,1;14,community machine telemetry,heterogeneous,unknown,unknown,pressure/flow/mass/time/temperature context,time series,local raw absent,unlicensed user corpus; aggregates only,not model-fit,ecological,software/design/ecological context,uncontrolled; no Flair tie-point
visualizer/user_outcomes,visualizer_coffee,3,user entry,heterogeneous,unknown,unknown,TDS/EY/sensory,shot scalar,unknown,unlicensed user corpus; aggregates only,not model-fit,hypothesis-level,ecological context only,not analytical groundtruth
waszkiewicz2025/traces_time_dependent,waszkiewicz2025,1;2;12,instrumented espresso rig,source rig,source grinder,pressure ladder,"basket/line pressure, flow, mass, dissolved mass",time series,retained,CC-BY-4.0,consumed by RC-3/SCI-MD stages,within-rig,design/reconstruction,pressure nodes and TDS-derived dissolved flow must stay distinct
waszkiewicz2025/tds_fractions,waszkiewicz2025,3;4,5-s fraction collection,source rig,source grinder,pressure conditions,fraction TDS/time,5-s fractions,replicates; first sparse,CC-BY-4.0,consumed,within-rig,fraction design,not Flair and not fresh validation
waszkiewicz2025/mastersizer_psd,waszkiewicz2025,10,Mastersizer,n/a,source grinder,3 replicates,volume PSD,binned,3 replicates,CC-BY-4.0,consumed,independent measurement,instrument/PSD planning,not grinder-setting transfer
wadsworth2026/table1_full,wadsworth2026,10;11;12,PSD/packed-bed rig,source apparatus,source grinder,multiple grinds,"moments, porosity, permeability",condition scalar,k error retained,CC-BY-4.0,consumed,independent measurement,range/design/reconstruction,source-specific
schmieder2023/raw_fractions,schmieder2023,4;5,espresso fractions+assay,source machine,source grinder,15 experiments x3,"fraction mass, caffeine/trigonelline/TDS","fractions 1,2,3,5,7,10",replicates,CC-BY,consumed SCI-MD-004/007/008/009,independent measurement within source,fraction design/method planning,not eligible fresh holdout
schmieder2023/cup_masses,schmieder2023,3;5,espresso+assay,source machine,source grinder,15 experiments,whole-cup species/TDS mass,whole shot,RSD reported,CC-BY,consumed,same apparatus,signal sizing,not Flair
pannusch2024/experimental_kinetics,pannusch2024,4;5,espresso fractions+assay,source machine,source grinder,15 x 6 fractions,species/TDS kinetics,6 fractions,run-averaged,CC-BY-NC-3.0,consumed,same lineage as Schmieder,fraction design,not independent of Schmieder
dias2015/table2,dias2015,6,roasted coffee assay,n/a,n/a,coffee/roast rows,total caffeine/trigonelline,bulk,retained,CC-BY-4.0,consumed SCI-MD-007,within-source,initial-content prior,total content != I_ref or M0
viencz2023/tables1_2,viencz2023,6,roasted coffee assay,n/a,n/a,canephora rows,total species,bulk,retained,public normalized facts,consumed,shared lab lineage,initial-content prior,not extractability
acre2024/tables1_2,acre2024,6,roasted coffee assay,n/a,n/a,canephora rows,total species/moisture context,bulk,retained,open access,consumed,shared lineage with Viencz,prior only,not independent holdout
liang2021/fig3_tds,liang2021,3;7,1-L reference extraction,batch extraction,varied grind,~42 digitized points,TDS/extraction vs brew ratio,bulk,digitized,open access,consumed,post-fit,reference-extractability proxy,method-conditioned proxy; not production M0
liang2021/fig4_E,liang2021,7;9,equilibrium/oven,batch extraction,varied,source curve,equilibrium extraction/dry basis,bulk,digitized,open access,consumed,within-source,method and dry-basis planning,not paired to home shots
romancorrochano2017/tamped_kappa,romancorrochano2017,10;11;12,tamped-bed Darcy rig,source rig,source grinds,4 grinds x3 densities,permeability/density,condition,SD,open thesis; noncommercial research,consumed,independent measurement,range/fixture design,no Flair pairing
foster2025_2/fig12_14_curves,foster2025_2,2;13;14,CT espresso rig,source rig,fine grind,source curves,front/headspace/deformation,time series,data error,paper,consumed,post-fit same campaign,camera/thermal timing design,not transferable quantitative deformation
egidi2024/table2,egidi2024,3;14,espresso apparatus,source machine,source grinder,12 conditions,"TDS/EY, pressure,temp,time",bulk shot,TDS sigma,paper,context-consumed,independent bracket,signal range,not response test and not Flair
